Location,Hospital_Name,State,District,Pincode,Latitude,Longitude
Near Dollygunj Junction,Chakraborty Multi Speciality Hospital,Andaman and Nicobar Islands,South Andaman,744101,11.6357989,92.7120575
Medical Board Office,Inhs Dhanvantri,Andaman and Nicobar Islands,South Andaman,744101,11.8311681,92.6586401
Near Masjid,Maricar Hospital,Andaman and Nicobar Islands,South Andaman,744103,11.8311681,92.6586401
"Lamba Line, P.B. No. 526",Pillar Health Centre,Andaman and Nicobar Islands,South Andaman,744103,11.6498468,92.7294624
"GB Pant Road, City Centre, Port Blair","G B Pant Hospital, Port Blair",Andaman and Nicobar Islands,South Andaman,744103,11.6233774,92.7264828
"Road No.1, Banjara Hills","Care Hospital, Banjara",Andhra Pradesh,Hyderabad,500034,17.4274003,78.4311174
"7/201, Court Road Anantapur 515001  Anantapur",Aasha Hospitals,Andhra Pradesh,Anantapur,515001,14.6795736,77.592469
"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex, Sainagar,Anantapur",Baby Hospital,Andhra Pradesh,Anantapur,515001,14.6818877,77.6005911
"12-3-234, 6Th Cross Sai Nagar Anantapur 515001  Anantapur",Dr Akbar Eye Hospital And Laser Centre,Andhra Pradesh,Anantapur,515001,14.6723351,77.6018211
"Sai Nagar Iind Cross,Anantapur",Hrudaya Children Hospital,Andhra Pradesh,Anantapur,515001,14.6749908,77.6032432
"15-381, Kamala Nagar,.","Jeevana Jyothi Hospitals Ltd.,",Andhra Pradesh,Anantapur,515001,17.4738037,78.5641765
Railway Station Road,Meda Nursing Home,Andhra Pradesh,Anantapur,515001,14.6818877,77.6005911
"12/3-269, Sai Nagar, 6Th Cross, Anantapur",Mnr Nursing Home,Andhra Pradesh,Anantapur,515001,14.6723351,77.6018211
D No: 15/721 Kamala Nagar Anantapur 515001  Anantapur,Mythri Hospitals,Andhra Pradesh,Anantapur,515001,14.6867872,77.5832307
"Aravinda Nagar, 2 Nd Cross",Padmavathi Hospital,Andhra Pradesh,Anantapur,515001,15.3474564,75.1253824
"12-2-979,3Rd Cross, Sai Nagar, Anantapur",Pavani Multi Speciality Hospital,Andhra Pradesh,Anantapur,515001,14.6742267,77.6025251
"346, Court Road,.",Prasanthi Nursing Home,Andhra Pradesh,Anantapur,515001,14.6818877,77.6005911
